,Year,Continent,Disaster Type,counts
569,1956,Europe,Earthquake,2
570,1956,Europe,Flood,1
571,1956,Europe,Industrial accident,1
572,1956,Europe,Volcanic activity,1
573,1956,Oceania,Storm,1
574,1957,Africa,Earthquake,1
575,1957,Americas,Earthquake,1
576,1957,Americas,Flood,1
577,1957,Americas,Miscellaneous accident,1
578,1957,Americas,Storm,3
579,1957,Americas,Transport accident,1
580,1957,Asia,Earthquake,5
581,1957,Asia,Flood,9
582,1957,Asia,Storm,5
583,1957,Asia,Transport accident,1
584,1957,Europe,Flood,1
585,1957,Europe,Industrial accident,1
586,1957,Europe,Storm,1
587,1957,Europe,Transport accident,2
588,1957,Oceania,Volcanic activity,1
589,1958,Africa,Transport accident,1
590,1958,Americas,Earthquake,3
591,1958,Americas,Extreme temperature,1
592,1958,Americas,Flood,1
593,1958,Americas,Industrial accident,1
594,1958,Americas,Miscellaneous accident,3
595,1958,Americas,Storm,3
596,1958,Asia,Earthquake,2
597,1958,Asia,Extreme temperature,1
598,1958,Asia,Flood,1
599,1958,Asia,Industrial accident,2
600,1958,Asia,Landslide,1
601,1958,Asia,Storm,8
602,1958,Europe,Flood,1
603,1958,Europe,Industrial accident,1
604,1958,Europe,Transport accident,1
605,1958,Oceania,Storm,2
606,1959,Africa,Flood,1
607,1959,Africa,Industrial accident,1
608,1959,Africa,Miscellaneous accident,1
609,1959,Americas,Earthquake,2
610,1959,Americas,Flood,4
611,1959,Americas,Storm,4
612,1959,Americas,Transport accident,1
613,1959,Asia,Earthquake,1
614,1959,Asia,Flood,8
615,1959,Asia,Landslide,1
616,1959,Asia,Storm,9
617,1959,Europe,Miscellaneous accident,2
618,1959,Oceania,Storm,3
619,1960,Africa,Earthquake,2
620,1960,Africa,Industrial accident,1
621,1960,Africa,Storm,1
622,1960,Africa,Transport accident,1
623,1960,Americas,Earthquake,3
624,1960,Americas,Flood,1
625,1960,Americas,Miscellaneous accident,1
626,1960,Americas,Storm,7
627,1960,Asia,Drought,1
628,1960,Asia,Earthquake,3
629,1960,Asia,Flood,6
630,1960,Asia,Landslide,1
631,1960,Asia,Storm,11
632,1960,Europe,Landslide,1
633,1960,Europe,Transport accident,2
634,1960,Oceania,Storm,1
635,1960,Oceania,Volcanic activity,1
636,1961,Africa,Earthquake,1
637,1961,Africa,Flood,1
638,1961,Americas,Drought,1
639,1961,Americas,Miscellaneous accident,3
640,1961,Americas,Storm,5
641,1961,Asia,Earthquake,2
642,1961,Asia,Extreme temperature,1
643,1961,Asia,Flood,7
644,1961,Asia,Industrial accident,1
645,1961,Asia,Storm,7
646,1961,Europe,Landslide,2
647,1961,Europe,Miscellaneous accident,1
648,1961,Europe,Storm,1
649,1961,Europe,Transport accident,2
650,1961,Oceania,Storm,1
651,1962,Africa,Flood,1
652,1962,Americas,Earthquake,1
653,1962,Americas,Extreme temperature,1
654,1962,Americas,Flood,2
655,1962,Americas,Landslide,2
656,1962,Americas,Mass movement (dry),1
657,1962,Americas,Storm,5
658,1962,Americas,Transport accident,1
659,1962,Asia,Earthquake,1
660,1962,Asia,Flood,4
661,1962,Asia,Storm,6
662,1962,Asia,Transport accident,1
663,1962,Europe,Earthquake,2
664,1962,Europe,Flood,1
665,1962,Europe,Miscellaneous accident,1
