,Disaster Type,Country,ISO,counts
302,Epidemic,Cabo Verde,CPV,2
303,Epidemic,Cambodia,KHM,9
304,Epidemic,Cameroon,CMR,25
305,Epidemic,Canada,CAN,7
306,Epidemic,Central African Republic,CAF,13
307,Epidemic,Chad,TCD,23
308,Epidemic,Chile,CHL,1
309,Epidemic,China,CHN,10
310,Epidemic,Colombia,COL,6
311,Epidemic,Comoros (the),COM,6
312,Epidemic,Congo (the Democratic Republic of the),COD,77
313,Epidemic,Congo (the),COG,19
314,Epidemic,Cook Islands (the),COK,3
315,Epidemic,Costa Rica,CRI,3
316,Epidemic,Cuba,CUB,2
317,Epidemic,Cyprus,CYP,2
318,Epidemic,Côte d’Ivoire,CIV,14
319,Epidemic,Djibouti,DJI,5
320,Epidemic,Dominican Republic (the),DOM,9
321,Epidemic,Ecuador,ECU,13
322,Epidemic,Egypt,EGY,3
323,Epidemic,El Salvador,SLV,11
324,Epidemic,Equatorial Guinea,GNQ,1
325,Epidemic,Ethiopia,ETH,28
326,Epidemic,Fiji,FJI,1
327,Epidemic,France,FRA,2
328,Epidemic,Gabon,GAB,8
329,Epidemic,Gambia (the),GMB,4
330,Epidemic,Germany,DEU,2
331,Epidemic,Ghana,GHA,22
332,Epidemic,Guadeloupe,GLP,1
333,Epidemic,Guatemala,GTM,10
334,Epidemic,Guinea,GIN,16
335,Epidemic,Guinea-Bissau,GNB,8
336,Epidemic,Haiti,HTI,8
337,Epidemic,Honduras,HND,10
338,Epidemic,Hong Kong,HKG,1
339,Epidemic,India,IND,70
340,Epidemic,Indonesia,IDN,35
341,Epidemic,Iran (Islamic Republic of),IRN,3
342,Epidemic,Iraq,IRQ,7
343,Epidemic,Ireland,IRL,2
344,Epidemic,Israel,ISR,1
345,Epidemic,Italy,ITA,2
346,Epidemic,Jamaica,JAM,5
347,Epidemic,Japan,JPN,3
348,Epidemic,Jordan,JOR,1
349,Epidemic,Kazakhstan,KAZ,3
350,Epidemic,Kenya,KEN,36
351,Epidemic,Kiribati,KIR,1
352,Epidemic,Korea (the Democratic People's Republic of),PRK,3
353,Epidemic,Korea (the Republic of),KOR,5
354,Epidemic,Kuwait,KWT,1
355,Epidemic,Kyrgyzstan,KGZ,3
356,Epidemic,Lao People's Democratic Republic (the),LAO,9
357,Epidemic,Latvia,LVA,1
358,Epidemic,Lesotho,LSO,3
359,Epidemic,Liberia,LBR,12
360,Epidemic,Macao,MAC,1
361,Epidemic,Macedonia (the former Yugoslav Republic of),MKD,1
362,Epidemic,Madagascar,MDG,8
363,Epidemic,Malawi,MWI,15
364,Epidemic,Malaysia,MYS,13
365,Epidemic,Maldives,MDV,2
366,Epidemic,Mali,MLI,19
367,Epidemic,Marshall Islands (the),MHL,1
368,Epidemic,Martinique,MTQ,1
369,Epidemic,Mauritania,MRT,6
370,Epidemic,Mauritius,MUS,2
371,Epidemic,Mexico,MEX,3
372,Epidemic,Micronesia (Federated States of),FSM,1
373,Epidemic,Moldova (the Republic of),MDA,1
374,Epidemic,Mongolia,MNG,3
375,Epidemic,Morocco,MAR,1
376,Epidemic,Mozambique,MOZ,29
377,Epidemic,Myanmar,MMR,4
378,Epidemic,Namibia,NAM,7
379,Epidemic,Nepal,NPL,20
380,Epidemic,Netherlands (the),NLD,1
381,Epidemic,New Caledonia,NCL,1
382,Epidemic,New Zealand,NZL,2
383,Epidemic,Nicaragua,NIC,13
384,Epidemic,Niger (the),NER,44
385,Epidemic,Nigeria,NGA,66
386,Epidemic,Niue,NIU,1
387,Epidemic,Pakistan,PAK,12
388,Epidemic,Palau,PLW,1
389,Epidemic,"Palestine, State of",PSE,1
390,Epidemic,Panama,PAN,5
391,Epidemic,Papua New Guinea,PNG,7
392,Epidemic,Paraguay,PRY,9
393,Epidemic,Peru,PER,14
394,Epidemic,Philippines (the),PHL,22
395,Epidemic,Romania,ROU,3
396,Epidemic,Russian Federation (the),RUS,10
397,Epidemic,Rwanda,RWA,12
398,Epidemic,Réunion,REU,1
399,Epidemic,Saint Lucia,LCA,1
400,Epidemic,Saint Vincent and the Grenadines,VCT,1
401,Epidemic,Samoa,WSM,1
402,Epidemic,Sao Tome and Principe,STP,3
403,Epidemic,Saudi Arabia,SAU,3
404,Epidemic,Senegal,SEN,12
405,Epidemic,Serbia Montenegro,SCG,2
406,Epidemic,Seychelles,SYC,2
407,Epidemic,Sierra Leone,SLE,16
408,Epidemic,Singapore,SGP,4
409,Epidemic,Solomon Islands,SLB,2
410,Epidemic,Somalia,SOM,29
411,Epidemic,South Africa,ZAF,7
412,Epidemic,South Sudan,SSD,7
413,Epidemic,Soviet Union,SUN,2
414,Epidemic,Spain,ESP,3
415,Epidemic,Sri Lanka,LKA,11
416,Epidemic,Sudan (the),SDN,40
417,Epidemic,Swaziland,SWZ,3
418,Epidemic,Sweden,SWE,2
419,Epidemic,Switzerland,CHE,1
420,Epidemic,Syrian Arab Republic,SYR,2
421,Epidemic,Taiwan (Province of China),TWN,2
422,Epidemic,Tajikistan,TJK,6
423,Epidemic,"Tanzania, United Republic of",TZA,33
424,Epidemic,Thailand,THA,7
425,Epidemic,Timor-Leste,TLS,2
426,Epidemic,Togo,TGO,12
427,Epidemic,Tonga,TON,2
428,Epidemic,Turkey,TUR,8
429,Epidemic,Uganda,UGA,41
430,Epidemic,Ukraine,UKR,3
431,Epidemic,United Kingdom of Great Britain and Northern Ireland (the),GBR,4
432,Epidemic,United States of America (the),USA,5
